44,1,88,10,07,1,16,30,2,02,6,6,9,02,3,4,2, ,12,01,/////,               ,Mukran
44,1,88,10,11,0,06,40,1,04,4,1,7,08,1,0,1,1,11,04,803//,               ,
44,1,88,10,11,0,07,35,2,46,8,1,0,03,3,1,2,1,10,04,/////,               ,U
44,1,88,10,11,0,07,40,2,48,8,1,0,01,1,0,1,1,10,04,/////,a-b-c-d-e-f-g  ,U
44,1,88,10,11,0,07,45,2,20,8,1,0,05,2,1,1,1,10,04,/////,               ,U
44,1,88,10,11,0,08,50,2,37,8,1,0,02,3,1,2,1,09,04,/////,               ,U
44,1,88,10,11,0,14,15,2,03,8,1,0,11,3,1,1,1,04,04,/////,               ,U
44,2,88,10,23,0,19,40,2,19,8,1,0,01,0,0,1, ,//,04,/////,c-d-e          ,kE
44,1,88,11,09,0,14,20,2,10,7,1,7,01,2,4,1, ,  ,04,/////,b-c-d-e-f      ,
44,1,88,11,09,0,14,20,2,06,6,1,0,04,2,1,2, ,  ,04,/////,               ,
44,1,88,11,09,0,15,00,2,06,7,1,7,05,3,0,1, ,  ,04,/////,               ,
44,1,88,11,09,0,15,00,2,06,7,1,7,08,1,0,1, ,  ,04,812//,               ,
44,1,88,11,14,0,11,50,2,01,8,2,1,01,0,0,1, ,  ,04,/////,c-d-e          ,
44,1,88,11,30,0,10,50,2,04,1,3,0,01,1,1,1, ,  ,04,/////,b-c-d-e-f      ,
44,1,88,12,15,0,13,15,1,01,4,1,0,02,1,1,1, ,  ,04,/////,               ,
44,2,88,12,20,0,19,50,2,02,6,1,0,01,1,0,1, ,  ,04,/////,a-b-c-d-e-f-g-h,
44,1,89,01,15,0,08,50,2,01,6,3,0,01,0,0,1, ,  ,04,/////,c-d-e          ,
44,1,89,01,15,0,08,50,2,03,6,3,0,05,2,0,1, ,  ,04,/////,               ,
44,1,89,02,15,1,10,20,2,08,8,5,1,44,3,0,2, ,01,19,/////,               ,
44,1,89,02,15,1,11,40,2,00,8,5,1,46,1,1,1, ,01,05,/////,               ,
44,1,89,02,18,1,11,10,2,01,8,7,7,11,2,1,1, ,03,08,/////,               ,
44,1,89,02,18,1,11,20,2,01,8,7,7,02,2,1,1, ,03,08,/////,               ,
44,1,89,02,21,0,09,35,2,01,4,1,0,01,0,0,1, ,  ,04,/////,b-c-d-e        ,
44,1,89,02,21,0,09,50,2,02,4,1,5,02,1,1,1, ,  ,04,/////,               ,
44,1,89,02,21,0,10,20,2,00,4,1,0,03,1,0,1, ,  ,04,/////,               ,
44,1,89,02,22,0,10,25,2,04,6,5,/,01,0,0,1, ,30,04,/////,b-c-d          ,
44,1,89,02,22,0,10,25,2,00,6,5,/,02,0,0,1, ,30,04,/////,               ,
44,1,89,02,23,0,10,35,2,01,8,3,/,02,0,0,1,2,05,04,/////,               ,
44,1,89,02,25,0,10,40,2,13,8,3,1,01,1,0,1, ,06,04,/////,a-b-c-d-e-f-g  ,
44,1,89,02,25,0,11,00,2,04,8,3,1,02,0,0,1, ,06,04,/////,               ,
44,1,89,02,25,0,13,00,2,01,8,3,0,03,0,0,1, ,04,04,/////,               ,
44,1,89,03,05,0,11,55,2,18,8,1,0,01,3,0,1, ,  ,04,/////,b-c-d-e-f      ,
44,1,89,03,07,0,16,55,1,02,1,0,1,04,1,4,1, ,  ,04,/////,               ,
44,1,89,03,09,0,16,40,2,04,2,1,0,04,1,0,1, ,  ,04,/////,               ,
44,1,89,03,12,1,08,40,2,00,7,3,4,02,0,0,1, ,17,08,/////,               ,Leipzig
44,1,89,03,16,0,11,45,2,02,8,1,0,01,2,3,1, ,  ,04,/////,b-c-d-e-f      ,kE
44,1,89,03,27,0,13,50,1,01,4,1,0,01,0,1,1,3,//,04,/////,d              ,
44,1,89,03,28,0,06,00,1,02,8,1,0,08,2,0,2,3,//,04,810//,               ,
44,1,89,03,28,0,06,10,1,03,8,1,0,05,1,1,1,3,//,04,/////,               ,
44,1,89,03,28,0,06,15,1,10,8,1,0,01,1,1,1,3,//,04,/////,b-c-d-e        ,
44,1,89,03,28,0,06,25,1,02,8,1,0,04,2,1,1,3,//,04,/////,               ,
44,1,89,03,28,0,12,50,2,19,8,5,0,01,2,1,1,3,//,04,/////,b-c-d-e-f-g    ,
44,1,89,03,28,0,12,50,2,03,8,5,0,07,2,1,1,3,//,04,/////,               ,
44,1,89,03,28,0,16,10,2,01,8,5,0,03,3,1,2,3,//,04,/////,               ,
44,1,89,03,28,0,16,10,2,03,8,5,0,11,1,1,1,3,//,04,/////,               ,
44,1,89,03,30,0,10,50,1,01,8,1,0,01,0,0,1, ,39,04,/////,d              ,kE
44,1,89,04,09,2,15,45,2,01,8,3,7,01,0,0,1, ,//,04,/////,d              ,
44,1,89,04,12,0,13,00,1,03,7,4,0,01,1,0,1, ,//,04,/////,a-b-c-d-e-f-g-h,kE
44,1,89,04,12,0,13,00,1,03,7,4,0,04,1,0,1, ,//,04,/////,               ,kE
44,1,89,04,12,0,15,15,1,01,8,5,0,05,1,1,1, ,//,04,/////,               ,
44,1,89,04,14,0,13,45,2,01,8,5,0,01,0,0,1, ,//,04,/////,d-e            ,
44,1,89,04,14,0,16,40,1,01,8,5,0,11,3,1,1, ,//,04,/////,               ,
44,1,89,04,14,0,16,40,1,01,8,5,0,12,0,4,1, ,//,04,/////,d              ,
44,1,89,04,14,0,17,30,2,04,8,5,7,03,2,3,2, ,//,04,/////,               ,
44,1,89,04,14,0,17,30,2,01,8,5,7,08,1,0,1, ,//,04,805//,               ,
44,1,89,04,24,0,17,20,2,02,8,3,0,01,1,0,1, ,//,04,/////,b-c-d-e-f      ,
44,1,89,04,24,0,17,30,2,01,8,3,0,02,1,1,1, ,//,04,/////,               ,
44,1,89,04,25,0,09,50,2,08,5,5,0,01,2,1,2, ,//,04,/////,               ,
44,1,89,04,25,0,10,50,2,02,5,5,0,07,1,1,1, ,//,04,/////,               ,
44,1,89,04,29,0,11,50,2,06,8,3,5,01,1,1,2, ,  ,04,/////,               ,
44,1,89,05,05,0,17,30,1,01,7,4,0,01,1,1,1, ,14,04,/////,d              ,
44,1,89,05,05,0,17,30,1,05,7,4,0,04,1,1,1, ,14,04,/////,               ,
44,1,89,05,05,0,17,30,1,05,7,4,0,27,1,1,1, ,14,04,/////,               ,
44,1,89,05,05,0,17,35,1,01,7,4,0,11,1,1,1, ,14,04,/////,               ,
44,1,89,05,05,0,17,40,1,00,7,4,0,12,1,1,1, ,14,04,/////,d              ,
44,1,89,05,07,2,09,20,2,16,8,3,5,01,2,1,2, ,//,04,/////,               ,
44,1,89,05,09,0,13,00,2,05,8,3,6,01,1,1,1, ,//,04,/////,c-d-e-f-g-h-a  ,
44,1,89,05,13,0,10,20,2,17,8,5,5,01,3,1,2, ,  ,04,/////,               ,kE
44,1,89,05,14,0,05,00,1,07,6,1,0,01,1,4,1, ,  ,04,/////,c-d-e          ,kE
44,1,89,05,14,0,05,00,1,01,6,1,0,03,1,1,1, ,  ,04,/////,               ,
44,1,89,05,21,2,13,20,1,03,3,4,0,01,2,1,2, ,//,04,/////,               ,
44,1,89,05,29,0,12,50,2,01,4,5,5,01,2,1,1, ,30,04,/////,c-d-e          ,
44,1,89,05,31,0,07,25,2,04,6,3,8,01,1,1,1, ,//,04,/////,b-c-d-e        ,
44,1,89,06,02,0,07,45,2,01,6,3,0,01,2,1,1, ,07,04,/////,b-c-d-e-f      ,kE
44,1,89,06,02,0,07,50,2,01,6,3,0,05,2,1,1, ,07,04,/////,               ,kE
44,1,89,06,09,0,08,00,2,06,6,5,/,01,1,1,2, ,  ,04,/////,               ,kE
44,1,89,06,17,1,20,30,2,01,3,1,0,08,1,0,1,3,//,01,804//,               ,
44,1,89,06,22,0,08,15,2,01,7,5,/,01,1,0,1, ,37,04,/////,b-c-d-e-f-g    ,Zinnowitz
44,1,89,06,24,1,15,50,2,02,6,5,0,01,1,0,1, ,//,01,/////,c-d-e          ,Zinnowitz
44,1,89,06,26,1,10,10,2,01,6,1,0,01,0,0,1, ,  ,01,/////,g-h-a          ,Zinnowitz
44,1,89,06,28,0,14,40,1,01,2,1,6,01,1,1,1, ,01,04,/////,a-b-c-d-e      ,kE
44,1,89,06,29,0,10,25,2,10,7,3,0,01,1,0,2,2,16,04,/////,               ,
44,1,89,07,02,2,14,00,2,13,8,6,2,01,1,1,1, ,  ,04,/////,b-c-d-e-f-g    ,
44,1,89,07,04,0,12,30,2,01,4,3,0,01,0,0,1, ,//,04,/////,a-b-c          ,
44,1,89,07,11,0,11,00,1,01,6,1,0,01,0,0,1, ,  ,04,/////,d              ,
44,1,89,07,22,2,14,20,2,02,7,3,0,01,0,0,1, ,//,04,/////,b-c-d-e        ,
44,1,89,07,23,2,13,30,2,02,6,5,0,01,0,0,1, ,20,04,/////,c-d-e          ,
44,1,89,08,06,1,19,10,1,01,4,1,/,10,1,0,2, ,  ,04,80302,               ,Krampfer
44,1,89,08,06,1,19,15,1,01,4,1,/,02,2,4,1, ,  ,04,/////,               ,Krampfer
44,1,89,08,08,1,14,30,2,01,7,6,0,01,0,0,1, ,  ,04,/////,c-d-e          ,Krampfer
44,2,89,08,13,1,21,20,1,01,3,3,0,04,0,0,1, ,//,04,/////,               ,Krampfer
44,2,89,08,13,1,21,20,1,01,3,3,0,08,0,0,1, ,//,04,803//,               ,Krampfer
44,1,89,09,02,1,09,40,1,01,5,1,0,01,1,1,1, ,  ,16,/////,c-d-e          ,
44,1,89,09,02,1,09,40,1,01,5,1,0,07,1,1,1, ,  ,16,/////,c-d-e          ,
44,1,89,09,03,0,11,00,2,04,8,3,8,01,2,1,2, ,//,04,/////,               ,
44,1,89,09,03,0,11,00,2,02,8,3,8,02,1,1,2, ,//,04,/////,               ,
44,1,89,09,03,0,11,00,2,04,8,3,8,07,2,1,1, ,//,04,/////,b-c-d-e-f/h    ,
44,1,89,09,03,0,11,00,2,02,8,3,8,13,1,0,1, ,//,04,/////,               ,
44,1,89,09,03,0,17,50,1,02,4,1,/,01,1,1,1, ,//,04,/////,c-d-e-f        ,
44,1,89,09,03,0,17,50,1,01,4,1,/,03,3,4,1, ,//,04,/////,               ,
44,1,89,09,04,0,08,40,1,01,7,5,0,01,1,0,1, ,  ,04,/////,               ,
44,1,89,09,13,2,05,10,0,05,1,1,0,08,3,4,1, ,25,01,805//,               ,
44,1,89,09,13,2,07,50,0,09,3,1,0,01,1,1,1, ,23,01,/////,b-c-d-e        ,
44,1,89,09,16,2,17,20,2,01,7,3,/,02,1,4,1, ,  ,01,/////,               ,U
44,1,89,09,18,2,07,20,2,02,5,1,0,01,0,4,1, ,//,01,/////,c-d-e          ,
44,1,89,09,18,2,07,20,2,02,5,1,0,02,1,4,1, ,//,01,/////,               ,
44,1,89,09,18,2,09,20,1,00,3,1,0,02,1,0,1, ,//,01,/////,               ,
44,1,89,09,20,2,08,30,2,01,6,4,1,11,0,1,1, ,  ,01,/////,               ,
44,1,89,09,29,2,07,30,1,00,3,1,0,04,0,1,1, ,  ,01,/////,               ,
44,1,89,10,05,2,10,25,1,00,3,1,0,03,2,1,2, ,  ,01,/////,               ,
44,1,89,10,22,2,14,00,1,01,2,1,0,03,2,0,1, ,25,01,/////,               ,
44,1,89,11,01,2,10,00,2,08,6,3,/,01,1,1,1, ,  ,01,/////,a-b-c-d-e-f    ,U
