07,2,86,01,01,0,02,10,/,00,8,7,0,01,1,0,1, ,  ,07,/////,               ,
07,2,86,01,01,0,03,40,/,01,8,7,2,01,1,0,1, ,  ,07,/////,               ,
40,1,86,01,01,0,10,00,/,13,/,3,/,01,0,/,/, ,  ,01,/////,               ,
40,1,86,01,01,0,10,00,/,13,/,3,/,05,1,/,/, ,  ,01,/////,               ,
40,1,86,01,01,0,10,00,/,02,/,3,/,08,0,/,/, ,  ,01,803//,               ,
40,1,86,01,01,0,10,10,/,01,/,3,/,11,0,/,/, ,  ,01,/////,               ,
02,1,86,01,01,0,12,00,/,01,2,5,0,03,1,1,2, ,  ,08,/////,               ,
40,1,86,01,01,0,15,00,/,02,/,3,/,08,0,/,/, ,  ,01,804//,               ,
04,2,86,01,02,2,05,28,/,00,8,3,0,01,1,2,1, ,03,08,/////,               ,
02,2,86,01,02,0,05,30,/,03,3,5,0,01,0,0,1, ,04,08,/////,               ,k 0.7
07,2,86,01,02,0,05,33,/,01,8,3,0,01,1,0,1, ,03,07,/////,               ,
10,2,86,01,02,0,06,10,/,02,8,5,2,01,2,0,2, ,  ,04,/////,               ,
17,1,86,01,03,1,10,15,/,02,3,3,2,03,2,3,2, ,12,08,/////,               ,
38,1,86,01,05,1,15,00,/,05,0,0,5,08,3,5,2, ,//,08,815//,               ,
07,1,86,01,06,1,10,35,/,01,8,5,2,03,0,4,1, ,01,07,/////,               ,
33,1,86,01,06,2,11,35,/,22,8,1,8,01,0,1,1, ,  ,08,/////,               ,
33,1,86,01,06,2,11,35,/,22,8,1,8,04,2,1,2, ,  ,08,/////,               ,
33,1,86,01,06,2,11,35,/,04,8,1,8,12,0,4,1, ,  ,08,/////,               ,
33,1,86,01,06,2,11,35,/,12,8,1,8,51,2,0,1, ,  ,08,/////,               ,
38,1,86,01,06,0,12,15,/,01,8,1,/,03,2,0,1, ,  ,08,/////,               ,
33,1,86,01,06,2,12,20,/,18,8,1,8,05,2,1,2, ,  ,08,/////,               ,
17,1,86,01,06,0,12,37,/,01,7,1,0,05,1,4,1, ,  ,08,/////,               ,
07,1,86,01,06,1,13,19,/,09,8,5,2,05,2,4,2, ,14,07,/////,               ,kE
07,1,86,01,06,1,13,19,/,00,8,5,2,11,0,1,1, ,12,07,/////,               ,kE
07,1,86,01,06,1,13,23,/,00,8,5,2,03,1,1,1, ,12,07,/////,               ,
02,1,86,01,06,0,14,00,/,02,2,5,2,01,0,1,1, ,  ,08,/////,               ,
02,1,86,01,06,0,14,00,/,02,2,5,2,03,0,1,1, ,  ,08,/////,               ,
09,1,86,01,06,0,14,06,/,00,4,4,8,03,0,1,1, ,10,08,/////,               ,3', diffus
07,1,86,01,06,1,14,18,/,01,8,5,2,01,0,4,1, ,14,07,/////,               ,
07,1,86,01,06,1,14,18,/,03,8,5,2,03,2,1,2, ,14,07,/////,               ,kE
07,1,86,01,06,1,14,45,/,00,8,5,2,02,1,1,1, ,14,07,/////,               ,kE
11,1,86,01,07,0,//,//,/,//,/,/,/,01,/,/,/, ,  ,21,/////,               ,
11,1,86,01,07,0,//,//,/,//,/,/,/,03,/,/,/, ,  ,21,/////,               ,
07,1,86,01,07,1,08,40,/,05,6,5,2,08,1,4,2, ,  ,07,804//,               ,
02,1,86,01,10,0,15,45,/,02,2,5,7,08,0,0,2, ,06,08,810//,               ,
07,1,86,01,11,0,13,08,/,10,8,7,2,01,1,4,1, ,11,07,/////,               ,kE
02,1,86,01,11,0,14,30,/,04,3,5,7,01,0,1,1, ,05,08,/////,               ,
04,1,86,01,11,0,14,45,/,00,8,5,8,01,1,4,2, ,06,08,/////,               ,
02,1,86,01,12,0,12,45,/,00,1,5,3,01,0,1,1, ,02,08,/////,               ,
