11,1,88,01,01,0,//,//,/,//,/,/,/,01,/,/,/, ,  ,21,/////,               ,
16,2,88,01,06,0,06,00,/,03,/,/,/,01,2,0,/, ,//,08,/////,b-c-d-e-f-g    ,
27,2,88,01,06,0,06,05,2,//,/,/,/,01,1,0,2,1,11,08,/////,               ,kE
09,2,88,01,06,1,06,10,1,02,8,3,2,01,1,0,1, ,  ,07,/////,b-c-d-e-f      ,kE durch tiefe Wolken
42,2,88,01,06,0,06,15,1,01,/,3,0,01,2,0,2,1,08,08,/////,               ,
25,2,88,01,06,0,06,25,2,02,8,3,0,01,2,0,1, ,02,08,/////,b-c-d-e-f      ,kA
10,2,88,01,06,0,06,45,2,01,/,3,2,01,0,0,1, ,  ,04,/////,c-d            ,
10,1,88,01,06,0,08,25,2,01,/,3,2,08,1,3,1, ,  ,04,801//,               ,
29,1,88,01,06,1,08,50,1,01,6,1,9,03,2,1,2, ,05,04,/////,               ,Potsdam
02,1,88,01,06,0,09,00,1,24,2,5,3,01,0,1,1,1,07,08,/////,d-e            ,UH
02,1,88,01,06,0,09,00,1,24,2,5,3,03,1,1,1,1,07,08,/////,               ,
08,1,88,01,06,1,09,30,/,00,/,/,/,05,1,0,1, ,  ,04,/////,               ,
29,1,88,01,06,1,09,55,/,01,/,1,9,02,2,1,1, ,04,04,/////,               ,kE durch Ac, Schînefeld
38,1,88,01,06,0,12,10,/,05,/,7,/,03,3,1,1,3,04,08,/////,               ,kurze UH, im Warmsektor
29,1,88,01,06,1,12,30,1,02,3,6,8,02,1,1,1, ,02,08,/////,               ,Dîbeln
25,1,88,01,06,0,13,00,1,//,8,5,0,03,3,1,1,4,04,08,/////,               ,kA kE
19,1,88,01,06,0,13,50,/,00,/,/,/,01,0,0,2, ,  ,08,/////,               ,
19,1,88,01,06,0,13,50,/,00,/,/,/,02,0,1,2, ,  ,08,/////,               ,
02,2,88,01,07,0,04,30,2,14,4,5,3,01,0,0,1, ,  ,08,/////,               ,
25,2,88,01,07,0,06,00,2,04,8,3,5,01,1,0,2,4,11,08,/////,               ,kA
27,2,88,01,07,0,06,05,2,//,/,/,/,01,0,0,1,1,//,08,/////,a-b-c-d-e-f-g  ,kE
02,1,88,01,07,0,09,00,1,24,2,5,3,01,0,1,1, ,  ,08,/////,               ,UH
25,1,88,01,07,0,11,05,2,//,3,1,0,03,2,0,1,4,04,08,/////,               ,kA kE
11,1,88,01,08,0,//,//,/,//,/,/,/,01,/,/,/, ,  ,21,/////,               ,
27,2,88,01,08,0,06,05,/,//,/,/,/,01,0,0,1, ,  ,08,/////,g-h-a          ,kE
28,2,88,01,09,2,06,05,2,08,4,3,5,01,2,1,1,4,//,07,/////,a-b-c-d-e-f-g  ,
28,2,88,01,09,2,06,05,2,01,4,3,5,05,1,2,1,4,//,07,/////,               ,
40,1,88,01,09,0,09,25,/,//,/,/,/,01,/,/,/, ,  ,01,/////,               ,
34,1,88,01,09,2,10,15,1,01,7,3,0,01,1,3,1,2,11,07,/////,d              ,kE
02,1,88,01,09,0,12,00,0,25,1,5,0,01,0,1,1, ,  ,08,/////,               ,UH
02,1,88,01,09,0,12,00,0,//,1,5,0,08,1,0,1, ,  ,08,804//,               ,
29,1,88,01,09,0,12,00,/,02,/,/,/,03,1,1,1, ,  ,08,/////,               ,
